unit,isced97,hlth_pb,sex,age,time,geo,value
THS,NRP,PB1041,F,Y45-54,2011,BE ,
THS,NRP,PB1041,M,Y45-54,2011,BE ,
THS,NRP,PB1041,T,Y45-54,2011,BE ,
THS,NRP,PB1041,F,Y55-64,2011,BE ,
THS,NRP,PB1041,M,Y55-64,2011,BE ,
THS,NRP,PB1041,T,Y55-64,2011,BE ,
THS,NRP,PB1070,F,TOTAL,2011,BE ,
THS,NRP,PB1070,M,TOTAL,2011,BE ,
THS,NRP,PB1070,T,TOTAL,2011,BE ,
THS,NRP,PB1070,F,Y15-24,2011,BE ,
THS,NRP,PB1070,M,Y15-24,2011,BE ,
THS,NRP,PB1070,T,Y15-24,2011,BE ,
THS,NRP,PB1070,F,Y25-34,2011,BE ,
THS,NRP,PB1070,M,Y25-34,2011,BE ,
THS,NRP,PB1070,T,Y25-34,2011,BE ,
THS,NRP,PB1070,F,Y35-44,2011,BE ,
THS,NRP,PB1070,M,Y35-44,2011,BE ,
THS,NRP,PB1070,T,Y35-44,2011,BE ,
THS,NRP,PB1070,F,Y45-54,2011,BE ,
THS,NRP,PB1070,M,Y45-54,2011,BE ,
THS,NRP,PB1070,T,Y45-54,2011,BE ,
THS,NRP,PB1070,F,Y55-64,2011,BE ,
THS,NRP,PB1070,M,Y55-64,2011,BE ,
THS,NRP,PB1070,T,Y55-64,2011,BE ,
THS,NRP,PB1071,F,TOTAL,2011,BE ,
THS,NRP,PB1071,M,TOTAL,2011,BE ,
THS,NRP,PB1071,T,TOTAL,2011,BE ,
THS,NRP,PB1071,F,Y15-24,2011,BE ,
THS,NRP,PB1071,M,Y15-24,2011,BE ,
THS,NRP,PB1071,T,Y15-24,2011,BE ,
THS,NRP,PB1071,F,Y25-34,2011,BE ,
THS,NRP,PB1071,M,Y25-34,2011,BE ,
THS,NRP,PB1071,T,Y25-34,2011,BE ,
THS,NRP,PB1071,F,Y35-44,2011,BE ,
THS,NRP,PB1071,M,Y35-44,2011,BE ,
THS,NRP,PB1071,T,Y35-44,2011,BE ,
THS,NRP,PB1071,F,Y45-54,2011,BE ,
THS,NRP,PB1071,M,Y45-54,2011,BE ,
THS,NRP,PB1071,T,Y45-54,2011,BE ,
THS,NRP,PB1071,F,Y55-64,2011,BE ,
THS,NRP,PB1071,M,Y55-64,2011,BE ,
THS,NRP,PB1071,T,Y55-64,2011,BE ,
THS,NRP,TOTAL,F,TOTAL,2011,BE ,
THS,NRP,TOTAL,M,TOTAL,2011,BE ,
THS,NRP,TOTAL,T,TOTAL,2011,BE ,
THS,NRP,TOTAL,F,Y15-24,2011,BE ,
THS,NRP,TOTAL,M,Y15-24,2011,BE ,
THS,NRP,TOTAL,T,Y15-24,2011,BE ,
THS,NRP,TOTAL,F,Y25-34,2011,BE ,
THS,NRP,TOTAL,M,Y25-34,2011,BE ,
THS,NRP,TOTAL,T,Y25-34,2011,BE ,
THS,NRP,TOTAL,F,Y35-44,2011,BE ,
THS,NRP,TOTAL,M,Y35-44,2011,BE ,
THS,NRP,TOTAL,T,Y35-44,2011,BE ,
THS,NRP,TOTAL,F,Y45-54,2011,BE ,
THS,NRP,TOTAL,M,Y45-54,2011,BE ,
THS,NRP,TOTAL,T,Y45-54,2011,BE ,
THS,NRP,TOTAL,F,Y55-64,2011,BE ,
THS,NRP,TOTAL,M,Y55-64,2011,BE ,
THS,NRP,TOTAL,T,Y55-64,2011,BE ,
THS,TOTAL,PB1040,F,TOTAL,2011,BE ,491.197
THS,TOTAL,PB1040,M,TOTAL,2011,BE ,473.345
THS,TOTAL,PB1040,T,TOTAL,2011,BE ,964.542
THS,TOTAL,PB1040,F,Y15-24,2011,BE ,21.888
THS,TOTAL,PB1040,M,Y15-24,2011,BE ,39.886
THS,TOTAL,PB1040,T,Y15-24,2011,BE ,61.774
THS,TOTAL,PB1040,F,Y25-34,2011,BE ,54.12
THS,TOTAL,PB1040,M,Y25-34,2011,BE ,47.779
THS,TOTAL,PB1040,T,Y25-34,2011,BE ,101.899
THS,TOTAL,PB1040,F,Y35-44,2011,BE ,86.823
THS,TOTAL,PB1040,M,Y35-44,2011,BE ,80.43
THS,TOTAL,PB1040,T,Y35-44,2011,BE ,167.253
THS,TOTAL,PB1040,F,Y45-54,2011,BE ,153.078
